model_id,dim,s,b,kappa,status,notes
BAAI/bge-large-en-v1.5,1024,0.077546,0.9939,2.887,measured,ARI-Canonical reference model
BAAI/bge-m3,1024,0.082476,0.9944,2.774,measured,
intfloat/multilingual-e5-large,1024,0.076236,0.9907,2.893,measured,
openai/text-embedding-3-large,3072,0.051514,0.9319,1.652,measured,
voyage/voyage-4-large,1024,0.080435,0.9785,2.489,measured,
cohere/embed-v4.0,1536,0.069946,0.9953,2.657,measured,
mistral/mistral-embed,1024,0.081177,0.9146,1.484,measured,
gemini/gemini-embedding-001,3072,0.050995,0.9901,2.547,measured,
sentence-transformers/all-mpnet-base-v2,768,0.096253,,,floor_limited,"kappa not fittable: hard quantization-boundary floor (~1% of code bytes edge-degenerate at sigma->0, sigma-independent); ARI unaffected (bit-reproducible)"
sentence-transformers/all-MiniLM-L6-v2,384,0.132349,,,floor_limited,"kappa not fittable: hard quantization-boundary floor (~1% of code bytes edge-degenerate at sigma->0, sigma-independent); ARI unaffected (bit-reproducible)"
nomic-ai/nomic-embed-text-v1.5,768,0.093399,0.9989,2.924,measured,
mixedbread-ai/mxbai-embed-large-v1,1024,0.078308,0.9774,2.546,measured,
Snowflake/snowflake-arctic-embed-l,1024,0.082256,1.0074,3.058,measured,
intfloat/e5-mistral-7b-instruct,4096,,0.9600,2.065,kappa_only,drift-sweep model; not in the panel (no ARI-Bench s)
Alibaba-NLP/gte-Qwen2-7B-instruct,3584,,0.9939,2.641,kappa_only,drift-sweep model; not in the panel (no ARI-Bench s)
